gene_name_1,gene_name_2,co_occurrence
ced-1,n2095,4
ced-1,ced-2,2
ced-1,sli-1,15
ced-1,abi-1,7
ced-1,n3538,4
ced-1,abl-1,4
ced-1,ced-7,4
ced-1,ced-12,2
ced-1,let-60,1
ced-1,ced-5,4
ced-1,ced-10,9
ced-1,ced-6,5
mtm-1,srgp-1,2
mtm-1,abl-1,1
mtm-1,pgrn-1,1
mtm-1,swan-1,1
n2095,ced-2,2
n2095,sli-1,7
n2095,abi-1,1
n2095,n3538,6
n2095,abl-1,5
n2095,ced-7,3
n2095,ced-12,2
n2095,let-60,1
n2095,ced-5,3
n2095,ced-10,4
n2095,ced-6,8
gfp,sli-1,3
ced-2,sli-1,3
ced-2,abi-1,1
ced-2,n3538,3
ced-2,abl-1,1
ced-2,ced-7,2
ced-2,ced-12,4
ced-2,let-60,1
ced-2,ced-5,3
ced-2,ced-10,2
ced-2,ced-6,2
srgp-1,abl-1,1
srgp-1,pgrn-1,2
srgp-1,swan-1,1
sli-1,abi-1,16
sli-1,n3538,13
sli-1,let-23,1
sli-1,abl-1,18
sli-1,ced-7,4
sli-1,ced-12,7
sli-1,let-60,1
sli-1,ced-5,14
sli-1,ced-10,28
sli-1,ced-6,9
abi-1,n3538,1
abi-1,abl-1,5
abi-1,ced-7,1
abi-1,ced-12,1
abi-1,let-60,1
abi-1,ced-5,7
abi-1,ced-10,3
abi-1,ced-6,1
n3538,abl-1,8
n3538,ced-7,2
n3538,ced-12,3
n3538,let-60,1
n3538,ced-5,6
n3538,ced-10,6
n3538,ced-6,7
abl-1,ced-7,1
abl-1,ced-12,1
abl-1,let-60,1
abl-1,pgrn-1,1
abl-1,ced-5,5
abl-1,swan-1,1
abl-1,ced-10,7
abl-1,ced-6,5
ced-7,ced-12,2
ced-7,let-60,1
ced-7,ced-5,2
ced-7,ced-10,2
ced-7,ced-6,4
ced-12,let-60,1
ced-12,ced-5,5
ced-12,ced-10,3
ced-12,ced-6,2
let-60,ced-5,1
let-60,ced-10,1
let-60,ced-6,1
pgrn-1,swan-1,1
ced-5,ced-10,9
ced-5,ced-6,3
ced-10,ced-6,4
