S/N,PMCID,GENES
1,PMC6681686,"cxcr4,opg"
2,PMC3655991,ire1
4,PMC5238375,"ace,ace2"
6,PMC3932947,en2
7,PMC5482458,ets1
8,PMC5967041,cdcp1
9,PMC6675870,"bak,bax"
10,PMC6322368,"orai1,stim1"
11,PMC3978517,rpa
13,PMC5908975,"fibronectin,cyclin d1,p53,akt,integrins,fak"
14,PMC5788631,yap
15,PMC3502787,erbb3
17,PMC2172299,"integrin,paxillin,rac1,fak,p130cas"
18,PMC4826221,atm
19,PMC3521709,"rac,dock180"
23,PMC4057701,"trif,myd88"
24,PMC4061041,"sclu,atm"
25,PMC5850946,"ywhaz,ccnd1,pten"
28,PMC6643126,"pkm2,metformin"
29,PMC2659383,gli
30,PMC4536527,"tlr4,vegf"
32,PMC6307990,ido1
33,PMC3946494,"muc4,akt,her2"
34,PMC6451008,"akt,mtor,pten,nos1"
